Area,Location,Rent (RM/month),Headline,Link
Melaka,Bandar Melaka,280,Single room for rent at Taman Merdeka,https://my.roomz.asia/884304
Melaka,Ayer Keroh,450,Middle room for rent at Bukit Beruang,https://my.roomz.asia/882430
Melaka,Melaka,300,Single Male room for rent at Taman Merdeka (include water and electric),https://my.roomz.asia/882694
Melaka,Bandar Melaka,300,Single room for rent at Melaka prefer  👩female,https://my.roomz.asia/881473
Melaka,Bandar Melaka,450,Middle room for rent at Taman Cheng Ria,https://my.roomz.asia/880835
Melaka,Bandar Melaka,300,Single room for rent at Taman Merdeka prefer  👩female (included utility),https://my.roomz.asia/878520
Melaka,Bandar Melaka,450,"Room for rent at Melaka Bukit Beruang ( Near to MMU , Infineon, Texas Instrument )",https://my.roomz.asia/810579
Melaka,Ayer Keroh,450,Middle room for rent at Taman Kerjasama,https://my.roomz.asia/816664
Melaka,Ayer Keroh,700,Studio room for rent at Ayer Keroh with private 🛁bathroom,https://my.roomz.asia/855715
Melaka,Bandar Melaka,680,Master room for rent at Mahkota Hotel Melaka with private 🛁bathroom prefer  👩female,https://my.roomz.asia/875080
Melaka,Bandar Melaka,400,Middle room for rent at Bukit Baru prefer  👩female,https://my.roomz.asia/874953
Melaka,Bandar Melaka,250,Middle room for rent at Batu Berendam,https://my.roomz.asia/873781
Melaka,Bandar Melaka,500,FULL FURNISH Semi-D +AIRCOND +FREE WIFI Designer MASTER Room Bkt Katil,https://my.roomz.asia/799116
Melaka,Bandar Melaka,500,New Full Furnished Aircond Free Wifi Semi D Middle Room Bukit Katil Near Bayou Lagoon,https://my.roomz.asia/798628
Melaka,Bandar Melaka,350,Middle room for rent at Batu Berendam,https://my.roomz.asia/873155
Melaka,Melaka,380,Single room for rent at  prefer  👩female,https://my.roomz.asia/872094
Melaka,Bandar Melaka,370,Middle room for rent at Melaka,https://my.roomz.asia/872093
Melaka,Ayer Keroh,500,"Fully Furnished Room In House For Rent At Bukit Beruang, Ayer Keroh Melaka",https://my.roomz.asia/870218
Melaka,Bandar Melaka,500,Master room for rent at Taman Akasia with private 🛁bathroom,https://my.roomz.asia/870217
Melaka,Ayer Keroh,230,Middle room for rent at Ayer Keroh prefer  👩female,https://my.roomz.asia/868466
Melaka,Bandar Melaka,280,Middle room for rent at Taman Merdeka with private 🛁bathroom prefer  👩female,https://my.roomz.asia/868164
Melaka,Bandar Melaka,450,Single room for rent at Bukit Katil,https://my.roomz.asia/866754
Melaka,Bandar Melaka,400,Single room for rent at Bukit Katil,https://my.roomz.asia/866753
Melaka,Ayer Keroh,450,Medium room for rent at Bukit Beruang,https://my.roomz.asia/813736
Sabah,Kota Kinabalu,350,Single room for rent at Kota Kinabalu,https://my.roomz.asia/878111
Sabah,Kota Kinabalu,550,Single room for rent at Taman Mewah,https://my.roomz.asia/877731
Sabah,Kota Kinabalu,300,Single room for rent at Kota Kinabalu,https://my.roomz.asia/877237
Sabah,Kota Kinabalu,350,Single room for rent at Asas Home,https://my.roomz.asia/876514
Sabah,Kota Kinabalu,260,Single room for rent at Kota Kinabalu,https://my.roomz.asia/874962
Sabah,Kota Kinabalu,280,Single room for rent at Donggongon,https://my.roomz.asia/874935
Sabah,Kota Kinabalu,260,Single room for rent at Pekan Donggongon,https://my.roomz.asia/874343
Sabah,Kota Kinabalu,260,Single room for rent at Kota Kinabalu,https://my.roomz.asia/874208
Sabah,Kota Kinabalu,250,Single room for rent at Kota Kinabalu,https://my.roomz.asia/873474
Sabah,Kota Kinabalu,250,Single room for rent at Pekan Donggongon,https://my.roomz.asia/872700
Sabah,Kota Kinabalu,600,Single room for rent at Maya Condominium prefer  👩female,https://my.roomz.asia/870322
Sabah,Kota Kinabalu,550,Middle room for rent at Angkasa Apartment,https://my.roomz.asia/869951
Sabah,Kota Kinabalu,700,Middle room for rent at Riverside Residence @ Sodomon,https://my.roomz.asia/867185
Sabah,Kota Kinabalu,350,Studio room for rent at Lintas Hilltop ,https://my.roomz.asia/863679
Sabah,Kota Kinabalu,700,Master room for rent at  with private 🛁bathroom,https://my.roomz.asia/862428
Sabah,Kota Kinabalu,500,Middle room for rent at Jalan Gaya,https://my.roomz.asia/862427
Sabah,Kota Kinabalu,750,Middle room for rent at The Gardens Condominium,https://my.roomz.asia/857591
Sabah,Kota Kinabalu,500,Single room for rent at Block D Cyber City Apartment 1,https://my.roomz.asia/853399
Sabah,Kota Kinabalu,750,"Puncak Luyang medium room for rent, prefer Female, Chinese-speaking; come with dedicated covered parking bay and Unifi",https://my.roomz.asia/789462
Terengganu,Kuala Terengganu,350,UMT & UNISZA Master room for rent at Gong Badak ,https://my.roomz.asia/868427
Kedah,Kulim,399,Furnished Air Cond Room for RENT!! Taman Opposite TESCO Kulim!,https://my.roomz.asia/817349
Kedah,Sungai Petani,400,Single room for rent at Sungai Petani,https://my.roomz.asia/895289
Kedah,Sungai Petani,250,Single room for rent at Sungai Petani,https://my.roomz.asia/887476
Kedah,Kulim,350,1 bedroom ready for rent,https://my.roomz.asia/793337
Kedah,Kulim,250,Single room for rent at 1454 prefer  👩female,https://my.roomz.asia/884181
Kedah,Kulim,450,Middle room for rent at Jalan Kulim Square,https://my.roomz.asia/862649
Kedah,Alor Star,400,Single room for rent at Jalan Telok Wanjah with private 🛁bathroom prefer  👩female,https://my.roomz.asia/858421
Kedah,Sungai Petani,480,Master room for rent at Sungai Petani with private 🛁bathroom prefer  👩female 🎓student,https://my.roomz.asia/853258
